	genome_name	genome_name	genome_name	genome_name
	count	unique	top	freq
genome_id				
106654.148	10	1	Acinetobacter nosocomialis strain 328	10
1069623.3	13	1	Streptococcus pneumoniae GA05578	13
1069624.3	13	1	Streptococcus pneumoniae GA04216	13
1069625.3	6	1	Streptococcus pneumoniae England14-9	6
1069626.3	10	1	Streptococcus pneumoniae GA02506	10
1069627.3	13	1	Streptococcus pneumoniae GA04672	13
1069628.3	14	1	Streptococcus pneumoniae GA08825	14
1079901.3	27	1	Salmonella enterica subsp. enterica serovar Hindmarsh strain CVM N30673	27
108619.100	12	1	Salmonella enterica subsp. enterica serovar Newport strain R9_3261_R1	12
108619.101	12	1	Salmonella enterica subsp. enterica serovar Newport strain R9_3265_R1	12
108619.140	14	1	Salmonella enterica subsp. enterica serovar Newport strain 29	14
108619.141	14	1	Salmonella enterica subsp. enterica serovar Newport strain 168	14
108619.142	14	1	Salmonella enterica subsp. enterica serovar Newport strain 62	14
108619.143	14	1	Salmonella enterica subsp. enterica serovar Newport strain 46	14
108619.144	14	1	Salmonella enterica subsp. enterica serovar Newport strain 48	14
108619.145	14	1	Salmonella enterica subsp. enterica serovar Newport strain 77	14
108619.146	14	1	Salmonella enterica subsp. enterica serovar Newport strain 79	14
108619.147	14	1	Salmonella enterica subsp. enterica serovar Newport strain 82	14
108619.148	14	1	Salmonella enterica subsp. enterica serovar Newport strain 84	14
108619.149	14	1	Salmonella enterica subsp. enterica serovar Newport strain 85	14
108619.150	14	1	Salmonella enterica subsp. enterica serovar Newport strain 86	14
108619.151	14	1	Salmonella enterica subsp. enterica serovar Newport strain 88	14
108619.152	14	1	Salmonella enterica subsp. enterica serovar Newport strain 92	14
108619.153	14	1	Salmonella enterica subsp. enterica serovar Newport strain 94	14
108619.154	14	1	Salmonella enterica subsp. enterica serovar Newport strain 98	14
108619.155	14	1	Salmonella enterica subsp. enterica serovar Newport strain 109	14
108619.156	14	1	Salmonella enterica subsp. enterica serovar Newport strain 113	14
108619.157	14	1	Salmonella enterica subsp. enterica serovar Newport strain 118	14
108619.158	14	1	Salmonella enterica subsp. enterica serovar Newport strain 130	14
108619.159	14	1	Salmonella enterica subsp. enterica serovar Newport strain 149	14
108619.160	14	1	Salmonella enterica subsp. enterica serovar Newport strain 165	14
108619.161	14	1	Salmonella enterica subsp. enterica serovar Newport strain 170	14
108619.162	14	1	Salmonella enterica subsp. enterica serovar Newport strain 153	14
108619.163	14	1	Salmonella enterica subsp. enterica serovar Newport strain 154	14
108619.164	14	1	Salmonella enterica subsp. enterica serovar Newport strain 3	14
108619.165	14	1	Salmonella enterica subsp. enterica serovar Newport strain 5	14
108619.166	14	1	Salmonella enterica subsp. enterica serovar Newport strain 6	14
108619.167	14	1	Salmonella enterica subsp. enterica serovar Newport strain 8	14
108619.168	14	1	Salmonella enterica subsp. enterica serovar Newport strain 10	14
108619.169	14	1	Salmonella enterica subsp. enterica serovar Newport strain 9	14
108619.17	27	1	Salmonella enterica subsp. enterica serovar Newport strain CVM N46850	27
108619.170	14	1	Salmonella enterica subsp. enterica serovar Newport strain 14	14
108619.171	14	1	Salmonella enterica subsp. enterica serovar Newport strain 19	14
108619.172	14	1	Salmonella enterica subsp. enterica serovar Newport strain 21	14
108619.173	14	1	Salmonella enterica subsp. enterica serovar Newport strain 192	14
108619.174	14	1	Salmonella enterica subsp. enterica serovar Newport strain 201	14
108619.175	14	1	Salmonella enterica subsp. enterica serovar Newport strain 195	14
108619.176	14	1	Salmonella enterica subsp. enterica serovar Newport strain 198	14
108619.177	14	1	Salmonella enterica subsp. enterica serovar Newport strain 200	14
108619.178	14	1	Salmonella enterica subsp. enterica serovar Newport strain 206	14
108619.179	14	1	Salmonella enterica subsp. enterica serovar Newport strain 209	14
108619.18	27	1	Salmonella enterica subsp. enterica serovar Newport strain CVM N50439	27
108619.180	14	1	Salmonella enterica subsp. enterica serovar Newport strain 220	14
108619.181	14	1	Salmonella enterica subsp. enterica serovar Newport strain 219	14
108619.182	14	1	Salmonella enterica subsp. enterica serovar Newport strain 226	14
108619.183	14	1	Salmonella enterica subsp. enterica serovar Newport strain 223	14
108619.184	14	1	Salmonella enterica subsp. enterica serovar Newport strain 229	14
108619.185	14	1	Salmonella enterica subsp. enterica serovar Newport strain 252	14
108619.186	14	1	Salmonella enterica subsp. enterica serovar Newport strain 212	14
108619.19	27	1	Salmonella enterica subsp. enterica serovar Newport strain CVM N38893	27
108619.20	27	1	Salmonella enterica subsp. enterica serovar Newport strain CVM N42477	27
108619.38	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_2690_R1	12
108619.39	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_2873_R1	12
108619.40	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_4007_R1	12
108619.41	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_5045_R1	12
108619.42	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_8188_R1	12
108619.43	12	1	Salmonella enterica subsp. enterica serovar Newport strain R9_3240_R1	12
108619.44	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_0830_R1	12
108619.45	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_4108_R1	12
108619.46	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_4821_R1	12
108619.47	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_4157_R1	12
108619.48	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_5931_R1	12
108619.49	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_8631_R1	12
108619.50	12	1	Salmonella enterica subsp. enterica serovar Newport strain R9_3241_R1	12
108619.51	12	1	Salmonella enterica subsp. enterica serovar Newport strain R9_3242_R1	12
108619.84	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_1598_R1	12
108619.85	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_0802_R1	12
108619.86	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_2926_R1	12
108619.87	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_2947_R1	12
108619.88	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_4995_R1	12
108619.89	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_4908_R1	12
108619.90	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_4997_R1	12
108619.91	12	1	Salmonella enterica subsp. enterica serovar Newport strain R9_3259_R1	12
108619.92	12	1	Salmonella enterica subsp. enterica serovar Newport strain R9_3260_R1	12
108619.93	12	1	Salmonella enterica subsp. enterica serovar Newport strain R8_8684_R1	12
108619.94	12	1	Salmonella enterica subsp. enterica serovar Newport strain R9_3254_R1	12
108619.95	12	1	Salmonella enterica subsp. enterica serovar Newport strain R9_3266_R1	12
108619.96	12	1	Salmonella enterica subsp. enterica serovar Newport strain R9_3263_R1	12
108619.97	12	1	Salmonella enterica subsp. enterica serovar Newport strain R9_3264_R1	12
108619.98	12	1	Salmonella enterica subsp. enterica serovar Newport strain R9_3267_R1	12
108619.99	12	1	Salmonella enterica subsp. enterica serovar Newport strain R9_3268_R1	12
1087440.3	21	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	21
1087441.3	23	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH2	23
1087443.3	23	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH4	23
1087444.3	23	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH5	23
1094167.3	23	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH7	23
1094169.3	21	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH9	21
1094170.3	23	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH10	23
1094171.3	23	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH11	23
1096996.4	1	1	Acinetobacter baumannii BJAB0715	1
1096997.4	1	1	Acinetobacter baumannii BJAB0868	1
1105115.3	18	1	Streptococcus pneumoniae GA54354	18
1105116.3	18	1	Streptococcus pneumoniae GA56113	18
1105117.3	18	1	Streptococcus pneumoniae GA56348	18
1105118.3	18	1	Streptococcus pneumoniae GA58581	18
1105119.3	18	1	Streptococcus pneumoniae GA60080	18
1105120.3	18	1	Streptococcus pneumoniae GA60190	18
1105121.3	18	1	Streptococcus pneumoniae GA58771	18
1116234.3	18	1	Acinetobacter baumannii AB5075	18
1128946.3	23	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH12	23
1128948.3	23	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH14	23
1128950.3	23	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH16	23
1128951.3	23	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH17	23
1128952.3	46	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH18	46
1128953.3	23	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH19	23
1128954.3	23	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH20	23
1131627.3	18	1	Streptococcus pneumoniae GA60132	18
1131628.3	18	1	Streptococcus pneumoniae GA58981	18
1131629.3	18	1	Streptococcus pneumoniae GA62681	18
1131630.3	18	1	Streptococcus pneumoniae GA62331	18
1134687.63	26	1	Klebsiella michiganensis strain AR375	26
1151173.3	14	1	Salmonella enterica subsp. enterica serovar Altona strain 203	14
1151179.3	14	1	Salmonella enterica subsp. enterica serovar Freetown strain 216	14
1151179.4	14	1	Salmonella enterica subsp. enterica serovar Freetown strain 232	14
115981.15	27	1	Salmonella enterica subsp. enterica serovar Montevideo strain CVM N45402	27
115981.16	27	1	Salmonella enterica subsp. enterica serovar Montevideo strain CVM N48700	27
115981.17	27	1	Salmonella enterica subsp. enterica serovar Montevideo strain CVM N48706	27
115981.18	27	1	Salmonella enterica subsp. enterica serovar Montevideo strain CVM N51288	27
115981.19	27	1	Salmonella enterica subsp. enterica serovar Montevideo strain CVM N50432	27
115981.22	27	1	Salmonella enterica subsp. enterica serovar Montevideo strain CVM N30669	27
115981.23	27	1	Salmonella enterica subsp. enterica serovar Montevideo strain CVM N42336	27
115981.54	14	1	Salmonella enterica subsp. enterica serovar Montevideo strain 238	14
115981.55	14	1	Salmonella enterica subsp. enterica serovar Montevideo strain 119	14
115981.57	14	1	Salmonella enterica subsp. enterica serovar Montevideo strain 50	14
115981.58	14	1	Salmonella enterica subsp. enterica serovar Montevideo strain 164	14
115981.59	14	1	Salmonella enterica subsp. enterica serovar Montevideo strain 199	14
115981.60	14	1	Salmonella enterica subsp. enterica serovar Montevideo strain 205	14
1160739.3	14	1	Salmonella enterica subsp. enterica serovar Carrau strain 249	14
1160769.3	27	1	Salmonella enterica subsp. enterica serovar Worthington strain CVM N45406	27
1160769.4	27	1	Salmonella enterica subsp. enterica serovar Worthington strain CVM N45931	27
1160769.5	27	1	Salmonella enterica subsp. enterica serovar Worthington strain CVM N46835	27
1160769.6	27	1	Salmonella enterica subsp. enterica serovar Worthington strain CVM N51304	27
1160769.7	27	1	Salmonella enterica subsp. enterica serovar Worthington strain CVM N32773	27
1160769.8	27	1	Salmonella enterica subsp. enterica serovar Worthington strain CVM N40374	27
1163395.3	9	1	Pseudomonas aeruginosa E2	9
1168064.3	23	1	Klebsiella pneumoniae subsp. pneumoniae KPNIH23	23
117541.3	27	1	Salmonella enterica subsp. enterica serovar Ohio strain CVM N44711	27
117541.4	27	1	Salmonella enterica subsp. enterica serovar Ohio strain CVM N29382	27
1192839.3	27	1	Salmonella enterica subsp. arizonae serovar 18:z4,z23:- strain CVM N38891	27
1192839.4	27	1	Salmonella enterica subsp. arizonae serovar 18:z4,z23:- strain CVM N29355	27
1192839.5	27	1	Salmonella enterica subsp. arizonae serovar 18:z4,z23:- strain CVM N31597	27
1194162.3	14	1	Salmonella enterica subsp. enterica serovar Norwich strain 180	14
1217627.3	7	1	Acinetobacter baumannii NIPH 67	7
1217628.3	7	1	Acinetobacter baumannii NIPH 70	7
1217629.3	7	1	Acinetobacter baumannii NIPH 80	7
1217630.3	7	1	Acinetobacter baumannii NIPH 201	7
1217631.3	7	1	Acinetobacter baumannii NIPH 290	7
1217632.3	7	1	Acinetobacter baumannii NIPH 329	7
1217633.3	7	1	Acinetobacter baumannii NIPH 335	7
1217635.3	7	1	Acinetobacter baumannii NIPH 527	7
1217636.3	7	1	Acinetobacter baumannii NIPH 528	7
1217637.3	7	1	Acinetobacter baumannii NIPH 601	7
1217638.3	7	1	Acinetobacter baumannii ANC 4097	7
1217639.3	7	1	Acinetobacter baumannii NIPH 146	7
1217640.3	7	1	Acinetobacter baumannii NIPH 190	7
1217641.3	7	1	Acinetobacter baumannii NIPH 615	7
1217642.3	7	1	Acinetobacter baumannii NIPH 1362	7
1217643.3	7	1	Acinetobacter baumannii NIPH 1669	7
1217644.3	7	1	Acinetobacter baumannii NIPH 1734	7
1217645.3	7	1	Acinetobacter baumannii NIPH 2061	7
1217646.3	7	1	Acinetobacter baumannii NIPH 24	7
1217647.3	7	1	Acinetobacter baumannii NIPH 60	7
1243597.3	14	1	Salmonella enterica subsp. enterica serovar Weslaco strain 172	14
1243597.4	14	1	Salmonella enterica subsp. enterica serovar Weslaco strain 27	14
1267355.3	17	1	Mycobacterium tuberculosis TKK-01-0008	17
1267356.3	18	1	Mycobacterium tuberculosis TKK-01-0017	18
1267357.3	9	1	Mycobacterium tuberculosis TKK-01-0020	9
1267358.3	18	1	Mycobacterium tuberculosis TKK-01-0021	18
1267359.3	18	1	Mycobacterium tuberculosis TKK-01-0023	18
1267360.3	9	1	Mycobacterium tuberculosis TKK-01-0026	9
1267361.3	9	1	Mycobacterium tuberculosis TKK-01-0032	9
1267362.3	9	1	Mycobacterium tuberculosis TKK-01-0069	9
1267363.3	9	1	Mycobacterium tuberculosis TKK-01-0072	9
1267364.3	9	1	Mycobacterium tuberculosis TKK-01-0080	9
127906.64	14	1	Vibrio cholerae O1 strain CMR020	14
127906.65	14	1	Vibrio cholerae O1 strain CMR021	14
127906.66	14	1	Vibrio cholerae O1 strain CMR022	14
127906.67	14	1	Vibrio cholerae O1 strain CMR019	14
127906.68	14	1	Vibrio cholerae O1 strain CMR004	14
127906.69	14	1	Vibrio cholerae O1 strain CMR001	14
127906.70	14	1	Vibrio cholerae O1 strain CMR007	14
127906.71	14	1	Vibrio cholerae O1 strain CMR008	14
127906.72	14	1	Vibrio cholerae O1 strain CMR009	14
127906.73	14	1	Vibrio cholerae O1 strain CMR010	14
127906.74	14	1	Vibrio cholerae O1 strain CMR011	14
127906.75	14	1	Vibrio cholerae O1 strain CMR012	14
127906.76	14	1	Vibrio cholerae O1 strain CMR013	14
127906.77	14	1	Vibrio cholerae O1 strain CMR014	14
127906.78	14	1	Vibrio cholerae O1 strain CMR015	14
127906.79	14	1	Vibrio cholerae O1 strain CMR016	14
127906.80	14	1	Vibrio cholerae O1 strain CMR017	14
